unit_number,time_cycles,predicted_RUL,health_score,risk_level,likely_failure_mode,recommended_action,severity,alert_message,generated_at
100,198,19.867952,15.9,High Risk,Overheating Risk + Bearing / Mechanical Risk + Core Performance Instability,Immediate Repair (Overheating Risk + Bearing / Mechanical Risk + Core Performance Instability),WARNING,Engine 100: High Risk (Health Score 15.9) - Immediate Repair (Overheating Risk + Bearing / Mechanical Risk + Core Performance Instability) | Likely cause: Overheating Risk + Bearing / Mechanical Risk + Core Performance Instability,2026-08-08T00:08:02
92,150,20.553434,16.4,High Risk,General Degradation,Immediate Repair,WARNING,Engine 92: High Risk (Health Score 16.4) - Immediate Repair,2026-08-08T00:08:02
49,303,22.631668,18.1,High Risk,Overheating Risk,Immediate Repair (Overheating Risk),WARNING,Engine 49: High Risk (Health Score 18.1) - Immediate Repair (Overheating Risk) | Likely cause: Overheating Risk,2026-08-08T00:08:02
42,156,23.134434,18.5,High Risk,Overheating Risk + Core Performance Instability,Immediate Repair (Overheating Risk + Core Performance Instability),WARNING,Engine 42: High Risk (Health Score 18.5) - Immediate Repair (Overheating Risk + Core Performance Instability) | Likely cause: Overheating Risk + Core Performance Instability,2026-08-08T00:08:02
24,186,23.67769,18.9,High Risk,Bearing / Mechanical Risk,Immediate Repair (Bearing / Mechanical Risk),WARNING,Engine 24: High Risk (Health Score 18.9) - Immediate Repair (Bearing / Mechanical Risk) | Likely cause: Bearing / Mechanical Risk,2026-08-08T00:08:02
90,146,23.660109,18.9,High Risk,General Degradation,Immediate Repair,WARNING,Engine 90: High Risk (Health Score 18.9) - Immediate Repair,2026-08-08T00:08:02
40,133,29.117065,23.3,High Risk,General Degradation,Immediate Repair,WARNING,Engine 40: High Risk (Health Score 23.3) - Immediate Repair,2026-08-08T00:08:02
91,234,30.883478,24.7,High Risk,General Degradation,Immediate Repair,WARNING,Engine 91: High Risk (Health Score 24.7) - Immediate Repair,2026-08-08T00:08:02
64,168,36.31392,29.1,High Risk,General Degradation,Immediate Repair,WARNING,Engine 64: High Risk (Health Score 29.1) - Immediate Repair,2026-08-08T00:08:02
53,164,37.479305,30.0,High Risk,Bearing / Mechanical Risk + Core Performance Instability,Immediate Repair (Bearing / Mechanical Risk + Core Performance Instability),WARNING,Engine 53: High Risk (Health Score 30.0) - Immediate Repair (Bearing / Mechanical Risk + Core Performance Instability) | Likely cause: Bearing / Mechanical Risk + Core Performance Instability,2026-08-08T00:08:02
52,189,39.5126,31.6,High Risk,Bearing / Mechanical Risk,Immediate Repair (Bearing / Mechanical Risk),WARNING,Engine 52: High Risk (Health Score 31.6) - Immediate Repair (Bearing / Mechanical Risk) | Likely cause: Bearing / Mechanical Risk,2026-08-08T00:08:02
38,125,41.659805,33.3,High Risk,General Degradation,Immediate Repair,WARNING,Engine 38: High Risk (Health Score 33.3) - Immediate Repair,2026-08-08T00:08:02
61,159,41.97586,33.6,High Risk,General Degradation,Immediate Repair,WARNING,Engine 61: High Risk (Health Score 33.6) - Immediate Repair,2026-08-08T00:08:02
46,146,43.12531,34.5,High Risk,General Degradation,Immediate Repair,WARNING,Engine 46: High Risk (Health Score 34.5) - Immediate Repair,2026-08-08T00:08:02
93,244,46.322803,37.1,High Risk,General Degradation,Immediate Repair,WARNING,Engine 93: High Risk (Health Score 37.1) - Immediate Repair,2026-08-08T00:08:02
32,145,46.59007,37.3,High Risk,Bearing / Mechanical Risk,Immediate Repair (Bearing / Mechanical Risk),WARNING,Engine 32: High Risk (Health Score 37.3) - Immediate Repair (Bearing / Mechanical Risk) | Likely cause: Bearing / Mechanical Risk,2026-08-08T00:08:02
58,176,48.00213,38.4,High Risk,General Degradation,Immediate Repair,WARNING,Engine 58: High Risk (Health Score 38.4) - Immediate Repair,2026-08-08T00:08:02
